Product Name,Price,Rating,Number of Reviews,Prime,Availability,URL
"Cordless Impact Wrench 3/4 inch compatible with Dewalt 20V Battery, Cerycose1850ft-lbs (2500N.m) Brushless Electric Impact Gun, High Torque Impact Driver, Bare Tool Only, Heavy-Duty Automotive",143.,N/A,N/A,No,"Cordless Impact Wrench 3/4 inch compatible with Dewalt 20V Battery, Cerycose1850ft-lbs (2500N.m) Brushless Electric Impact Gun, High Torque Impact Driver, Bare Tool Only, Heavy-Duty Automotive",https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMjE5MDc1MjMwNzY2ODYxOjE3NzA0NDQxNTc6c3BfYXRmOjMwMDY2ODc1NjE4MjMwMjo6MDo6&url=%2FWrench-1850ft-lbs-Heavy-Duty-Automotive-Industrial%2Fdp%2FB0DRVHXJDN%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.7VOlzFoyBXtDj-aj8NE7d-dTvyW9fPZUi9GiMBkXCs83pRhhtX2EQLGZgf373emKfL-Zl_EMtbi8PVLvfkS65CZrCHoKkrwTgCsBe9aksOSteVi-JHhjeAIEw3KK0zdAdRt-hHn3jra6DE49Tc-xZNAjo3AV4MtPuUUYm4SMVqnklv1BcQdHDA9QvkXBq3mTsxXpAdF-yOW7t6EuSi8RMKODoOkJjzWzM68bJO4C6oRFScTAXtlU1BXyI8pJ7v5QXSO825zOUtab_0edgWqnxfg2uM9g9-krh151RJakMMg.QrsckyP6cApTWUbHxRX8Mwx_a1lHoDIhVw3MFimN8cI%26dib_tag%3Dse%26keywords%3Dpower%2Btools%26qid%3D1770444157%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Cordless Impact Wrench, 900Ft-lbs (1200N.m) 1/2"" Brushless Impact Gun with 2x 4.0Ah Battery, Fast Charger & 6 Sockets, High Torque Power Impact Driver Ideal for Car, DIY, and Truck RV/Mower (1200N.m)",84.,N/A,N/A,No,Check availability,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMjE5MDc1MjMwNzY2ODYxOjE3NzA0NDQxNTc6c3BfYXRmOjMwMTEwMDI0ODA0OTkwMjo6MDo6&url=%2FCordless-900Ft-lbs-1200N-m-Brushless-Battery%2Fdp%2FB0FP14XK2J%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.7VOlzFoyBXtDj-aj8NE7d-dTvyW9fPZUi9GiMBkXCs83pRhhtX2EQLGZgf373emKfL-Zl_EMtbi8PVLvfkS65CZrCHoKkrwTgCsBe9aksOSteVi-JHhjeAIEw3KK0zdAdRt-hHn3jra6DE49Tc-xZNAjo3AV4MtPuUUYm4SMVqnklv1BcQdHDA9QvkXBq3mTsxXpAdF-yOW7t6EuSi8RMKODoOkJjzWzM68bJO4C6oRFScTAXtlU1BXyI8pJ7v5QXSO825zOUtab_0edgWqnxfg2uM9g9-krh151RJakMMg.QrsckyP6cApTWUbHxRX8Mwx_a1lHoDIhVw3MFimN8cI%26dib_tag%3Dse%26keywords%3Dpower%2Btools%26qid%3D1770444157%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Electric Pile Driver Hammer - JKCHENPRO 2200W Electric T Post Driver, 110V Handheld Pile Driver, 2100 BPM Sufficient Power, Ideal for Fence Post Construction Site, Farm Fences, Forestry Seedlings",329.,N/A,N/A,No,Check availability,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMjE5MDc1MjMwNzY2ODYxOjE3NzA0NDQxNTc6c3BfYXRmOjMwMTA0MTczNjYzMTcwMjo6MDo6&url=%2FJKCHENPRO-2200W-Electric-Driver-Hammer%2Fdp%2FB0FCFQY67B%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.7VOlzFoyBXtDj-aj8NE7d-dTvyW9fPZUi9GiMBkXCs83pRhhtX2EQLGZgf373emKfL-Zl_EMtbi8PVLvfkS65CZrCHoKkrwTgCsBe9aksOSteVi-JHhjeAIEw3KK0zdAdRt-hHn3jra6DE49Tc-xZNAjo3AV4MtPuUUYm4SMVqnklv1BcQdHDA9QvkXBq3mTsxXpAdF-yOW7t6EuSi8RMKODoOkJjzWzM68bJO4C6oRFScTAXtlU1BXyI8pJ7v5QXSO825zOUtab_0edgWqnxfg2uM9g9-krh151RJakMMg.QrsckyP6cApTWUbHxRX8Mwx_a1lHoDIhVw3MFimN8cI%26dib_tag%3Dse%26keywords%3Dpower%2Btools%26qid%3D1770444157%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Electric Pile Driver Hammer 2200W Electric T Post Driver, 110V Handheld Pile Driver, 2100 BPM Sufficient Power, Ideal for Fence Post Construction Site, Farm Fences, Forestry Seedlings",329.,N/A,N/A,No,Check availability,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTozMjE5MDc1MjMwNzY2ODYxOjE3NzA0NDQxNTc6c3BfYXRmOjMwMDg1NjAyNjAxNTIwMjo6MDo6&url=%2FElectric-Handheld-Sufficient-Construction-Seedlings%2Fdp%2FB0F3NJY9X8%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.7VOlzFoyBXtDj-aj8NE7d-dTvyW9fPZUi9GiMBkXCs83pRhhtX2EQLGZgf373emKfL-Zl_EMtbi8PVLvfkS65CZrCHoKkrwTgCsBe9aksOSteVi-JHhjeAIEw3KK0zdAdRt-hHn3jra6DE49Tc-xZNAjo3AV4MtPuUUYm4SMVqnklv1BcQdHDA9QvkXBq3mTsxXpAdF-yOW7t6EuSi8RMKODoOkJjzWzM68bJO4C6oRFScTAXtlU1BXyI8pJ7v5QXSO825zOUtab_0edgWqnxfg2uM9g9-krh151RJakMMg.QrsckyP6cApTWUbHxRX8Mwx_a1lHoDIhVw3MFimN8cI%26dib_tag%3Dse%26keywords%3Dpower%2Btools%26qid%3D1770444157%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"DEWALT 20V MAX Cordless Drill and Impact Driver, Power Tool Combo Kit , Includes 2 Batteries, Charger and Bag (DCK240C2)",149.,N/A,N/A,No,Check availability,https://www.amazon.com/DEWALT-DCK240C2-Lithium-Driver-Impact/dp/B00IJ0ALYS/ref=sr_1_5?dib=eyJ2IjoiMSJ9.7VOlzFoyBXtDj-aj8NE7d-dTvyW9fPZUi9GiMBkXCs83pRhhtX2EQLGZgf373emKfL-Zl_EMtbi8PVLvfkS65CZrCHoKkrwTgCsBe9aksOSteVi-JHhjeAIEw3KK0zdAdRt-hHn3jra6DE49Tc-xZNAjo3AV4MtPuUUYm4SMVqnklv1BcQdHDA9QvkXBq3mTsxXpAdF-yOW7t6EuSi8RMKODoOkJjzWzM68bJO4C6oRFScTAXtlU1BXyI8pJ7v5QXSO825zOUtab_0edgWqnxfg2uM9g9-krh151RJakMMg.QrsckyP6cApTWUbHxRX8Mwx_a1lHoDIhVw3MFimN8cI&dib_tag=se&keywords=power+tools&qid=1770444157&sr=8-5
"Tool Set - 8V Cordless Drill Set, 132 Piece Home Tool Set With Hand Drill, Tool Kit for Women & Men, Perfect for Homeowner, Diyer, Handyman",49.,N/A,N/A,No,Check availability,https://www.amazon.com/Tool-Set-Cordless-Homeowner-Handyman/dp/B0DHP8WXMF/ref=sr_1_6?dib=eyJ2IjoiMSJ9.7VOlzFoyBXtDj-aj8NE7d-dTvyW9fPZUi9GiMBkXCs83pRhhtX2EQLGZgf373emKfL-Zl_EMtbi8PVLvfkS65CZrCHoKkrwTgCsBe9aksOSteVi-JHhjeAIEw3KK0zdAdRt-hHn3jra6DE49Tc-xZNAjo3AV4MtPuUUYm4SMVqnklv1BcQdHDA9QvkXBq3mTsxXpAdF-yOW7t6EuSi8RMKODoOkJjzWzM68bJO4C6oRFScTAXtlU1BXyI8pJ7v5QXSO825zOUtab_0edgWqnxfg2uM9g9-krh151RJakMMg.QrsckyP6cApTWUbHxRX8Mwx_a1lHoDIhVw3MFimN8cI&dib_tag=se&keywords=power+tools&qid=1770444157&sr=8-6
"Kreg 20V Ionic Drive Oscillating Multi-Tool, 20V Blue Ion Charger & Blue Ion 2Ah Battery Pack - Compact, Durable & Easy to Use - 6 Speed Settings - Toolless Blade Change - KPTBMT100A",219.,N/A,N/A,No,Only 1 left in stock - order soon.,https://www.amazon.com/Kreg-Oscillating-Multi-Tool-Charger-Battery/dp/B0FKX55FT2/ref=sr_1_7?dib=eyJ2IjoiMSJ9.7VOlzFoyBXtDj-aj8NE7d-dTvyW9fPZUi9GiMBkXCs83pRhhtX2EQLGZgf373emKfL-Zl_EMtbi8PVLvfkS65CZrCHoKkrwTgCsBe9aksOSteVi-JHhjeAIEw3KK0zdAdRt-hHn3jra6DE49Tc-xZNAjo3AV4MtPuUUYm4SMVqnklv1BcQdHDA9QvkXBq3mTsxXpAdF-yOW7t6EuSi8RMKODoOkJjzWzM68bJO4C6oRFScTAXtlU1BXyI8pJ7v5QXSO825zOUtab_0edgWqnxfg2uM9g9-krh151RJakMMg.QrsckyP6cApTWUbHxRX8Mwx_a1lHoDIhVw3MFimN8cI&dib_tag=se&keywords=power+tools&qid=1770444157&sr=8-7
Milwaukee Electric - M18TRADE Compact BRUSHLESS 2-Tool Combo KIT,193.,N/A,N/A,No,Only 3 left in stock - order soon.,https://www.amazon.com/Milwaukee-3692-22CT-Compact-Brushless-2-Tool/dp/B0CP7TPXST/ref=sr_1_8?dib=eyJ2IjoiMSJ9.7VOlzFoyBXtDj-aj8NE7d-dTvyW9fPZUi9GiMBkXCs83pRhhtX2EQLGZgf373emKfL-Zl_EMtbi8PVLvfkS65CZrCHoKkrwTgCsBe9aksOSteVi-JHhjeAIEw3KK0zdAdRt-hHn3jra6DE49Tc-xZNAjo3AV4MtPuUUYm4SMVqnklv1BcQdHDA9QvkXBq3mTsxXpAdF-yOW7t6EuSi8RMKODoOkJjzWzM68bJO4C6oRFScTAXtlU1BXyI8pJ7v5QXSO825zOUtab_0edgWqnxfg2uM9g9-krh151RJakMMg.QrsckyP6cApTWUbHxRX8Mwx_a1lHoDIhVw3MFimN8cI&dib_tag=se&keywords=power+tools&qid=1770444157&sr=8-8
"PULITUO'S 20V Cordless Drill/Driver, Electric Screwdriver - 2 Batteries, 30Nm, 21+1 Torque, 2 Speed, Keyless 3/8"" Chase Drill with LED Light, Kit for Home (Green)",32.,N/A,N/A,No,Check availability,https://www.amazon.com/PULITUO-Cordless-Batteries-Electric-Screwdriver/dp/B0DFXLWYQ9/ref=sr_1_9?dib=eyJ2IjoiMSJ9.7VOlzFoyBXtDj-aj8NE7d-dTvyW9fPZUi9GiMBkXCs83pRhhtX2EQLGZgf373emKfL-Zl_EMtbi8PVLvfkS65CZrCHoKkrwTgCsBe9aksOSteVi-JHhjeAIEw3KK0zdAdRt-hHn3jra6DE49Tc-xZNAjo3AV4MtPuUUYm4SMVqnklv1BcQdHDA9QvkXBq3mTsxXpAdF-yOW7t6EuSi8RMKODoOkJjzWzM68bJO4C6oRFScTAXtlU1BXyI8pJ7v5QXSO825zOUtab_0edgWqnxfg2uM9g9-krh151RJakMMg.QrsckyP6cApTWUbHxRX8Mwx_a1lHoDIhVw3MFimN8cI&dib_tag=se&keywords=power+tools&qid=1770444157&sr=8-9
"KingTool 276-Piece Tool Set Kit - Tool kit with 12V Cordless Power Drill Driver Toolbox Storage Case with Drawer, Drill Set Perfect for Homeowner, Diyer, Handyman",94.,N/A,N/A,No,Check availability,https://www.amazon.com/KingTool-276-Piece-Tool-Set-Kit/dp/B0D7HC5DZQ/ref=sr_1_10?dib=eyJ2IjoiMSJ9.7VOlzFoyBXtDj-aj8NE7d-dTvyW9fPZUi9GiMBkXCs83pRhhtX2EQLGZgf373emKfL-Zl_EMtbi8PVLvfkS65CZrCHoKkrwTgCsBe9aksOSteVi-JHhjeAIEw3KK0zdAdRt-hHn3jra6DE49Tc-xZNAjo3AV4MtPuUUYm4SMVqnklv1BcQdHDA9QvkXBq3mTsxXpAdF-yOW7t6EuSi8RMKODoOkJjzWzM68bJO4C6oRFScTAXtlU1BXyI8pJ7v5QXSO825zOUtab_0edgWqnxfg2uM9g9-krh151RJakMMg.QrsckyP6cApTWUbHxRX8Mwx_a1lHoDIhVw3MFimN8cI&dib_tag=se&keywords=power+tools&qid=1770444157&sr=8-10
