Product Name,Price,Rating,Number of Reviews,Prime,Availability,URL
"COOLJOB 12/60 Pairs Safety Work Gloves Pack Bulk with Grip PU Coating, 13 Gauge Seamless Knit Gloves with Polyurethane Dipped for Warehouse Working, Breathable Lightweight for Men Women, Black Large",15.,N/A,N/A,No,Check availability,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMzQ4OTk3OTk5NTk4MDYxOjE3NzA0NDM5OTk6c3BfYXRmOjMwMDE5MTI4OTA0NjcwMjo6MDo6&url=%2FCOOLJOB-Polyurethane-Coated-Safety-Working%2Fdp%2FB08BHNN43X%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.9i0zlpN3iFZjfr4tbaNAGEBi-LVWg8p5xWYBh1XdvtTZZjIibEh_mwCtP3-8G-npg8vLzNsdXHqZ5VBM68Oz7vl3lpCfnEeTMpVfCHfe9yUpie2GT_I4LNYJR9KJsZblsocIBHP9_4AR_7d1297oGvH-gEi1lzWtII1-dmetvaquVwzWhCPKA0UFUrQAMJDlmUICdu1OUVIEusrklYMILcvkemBxeoa4ZZ0vcTAgiF_WxKP2kvrJVq7I6Q0aDCA0-c49huIjtuXbhuBPZsow8zslGtdk5KyBdC16yLl2Za4.7Q-rRp5QPU30vbLo7fBYDndge069FtS4OmeSgdvMWNs%26dib_tag%3Dse%26keywords%3Dsafety%2Bgloves%26qid%3D1770443999%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"COOLJOB 12/120 Pairs Cut Resistant Safety Work Gloves with Grip, 13 Gauge Seamless Shell with PU Coating, ANSI A2 A4 A6, Gray",35.,N/A,N/A,No,Check availability,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMzQ4OTk3OTk5NTk4MDYxOjE3NzA0NDM5OTk6c3BfYXRmOjMwMDcwNTg1OTMzODIwMjo6MDo6&url=%2FCOOLJOB-Polyurethane-Protective-Breathable-Lightweight%2Fdp%2FB0CJJ5493L%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.9i0zlpN3iFZjfr4tbaNAGEBi-LVWg8p5xWYBh1XdvtTZZjIibEh_mwCtP3-8G-npg8vLzNsdXHqZ5VBM68Oz7vl3lpCfnEeTMpVfCHfe9yUpie2GT_I4LNYJR9KJsZblsocIBHP9_4AR_7d1297oGvH-gEi1lzWtII1-dmetvaquVwzWhCPKA0UFUrQAMJDlmUICdu1OUVIEusrklYMILcvkemBxeoa4ZZ0vcTAgiF_WxKP2kvrJVq7I6Q0aDCA0-c49huIjtuXbhuBPZsow8zslGtdk5KyBdC16yLl2Za4.7Q-rRp5QPU30vbLo7fBYDndge069FtS4OmeSgdvMWNs%26dib_tag%3Dse%26keywords%3Dsafety%2Bgloves%26qid%3D1770443999%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Malta Dynamics Safety Work Protective Gloves – Mens Work Gloves with Cut Level 5 Protection, OSHA and ANSI Compliant",47.,N/A,N/A,No,Check availability,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMzQ4OTk3OTk5NTk4MDYxOjE3NzA0NDM5OTk6c3BfYXRmOjMwMDgwMzgwMDI0ODIwMjo6MDo6&url=%2FMalta-Dynamics-Safety-Protective-Compliant%2Fdp%2FB0CJ9WX65D%2Fref%3Dsr_1_3_sspa%3Fdib%3DeyJ2IjoiMSJ9.9i0zlpN3iFZjfr4tbaNAGEBi-LVWg8p5xWYBh1XdvtTZZjIibEh_mwCtP3-8G-npg8vLzNsdXHqZ5VBM68Oz7vl3lpCfnEeTMpVfCHfe9yUpie2GT_I4LNYJR9KJsZblsocIBHP9_4AR_7d1297oGvH-gEi1lzWtII1-dmetvaquVwzWhCPKA0UFUrQAMJDlmUICdu1OUVIEusrklYMILcvkemBxeoa4ZZ0vcTAgiF_WxKP2kvrJVq7I6Q0aDCA0-c49huIjtuXbhuBPZsow8zslGtdk5KyBdC16yLl2Za4.7Q-rRp5QPU30vbLo7fBYDndge069FtS4OmeSgdvMWNs%26dib_tag%3Dse%26keywords%3Dsafety%2Bgloves%26qid%3D1770443999%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Cestus C11e, Foam Nitrile Coated Work Gloves with Grip, Touchscreen, ANSI A1 Cut-Resistant, Safety Gloves for Construction",33.,N/A,N/A,No,Check availability,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMzQ4OTk3OTk5NTk4MDYxOjE3NzA0NDM5OTk6c3BfYXRmOjMwMTAyODIyMzA3MDkwMjo6MDo6&url=%2FCestus-C11e-Touchscreen-Cut-Resistant-Construction%2Fdp%2FB0FP7ZBBK1%2Fref%3Dsr_1_4_sspa%3Fdib%3DeyJ2IjoiMSJ9.9i0zlpN3iFZjfr4tbaNAGEBi-LVWg8p5xWYBh1XdvtTZZjIibEh_mwCtP3-8G-npg8vLzNsdXHqZ5VBM68Oz7vl3lpCfnEeTMpVfCHfe9yUpie2GT_I4LNYJR9KJsZblsocIBHP9_4AR_7d1297oGvH-gEi1lzWtII1-dmetvaquVwzWhCPKA0UFUrQAMJDlmUICdu1OUVIEusrklYMILcvkemBxeoa4ZZ0vcTAgiF_WxKP2kvrJVq7I6Q0aDCA0-c49huIjtuXbhuBPZsow8zslGtdk5KyBdC16yLl2Za4.7Q-rRp5QPU30vbLo7fBYDndge069FtS4OmeSgdvMWNs%26dib_tag%3Dse%26keywords%3Dsafety%2Bgloves%26qid%3D1770443999%26sr%3D8-4-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Safety Work Gloves MicroFoam Nitrile Coated-3/6/12/36 Pairs,Breathable Nylon Working Gloves for Men Women",9.,N/A,N/A,No,Check availability,https://www.amazon.com/NEOTRIL-MicroFoam-Coated-3-Automotive-Warehouse/dp/B0BW9185XF/ref=sr_1_5?dib=eyJ2IjoiMSJ9.9i0zlpN3iFZjfr4tbaNAGEBi-LVWg8p5xWYBh1XdvtTZZjIibEh_mwCtP3-8G-npg8vLzNsdXHqZ5VBM68Oz7vl3lpCfnEeTMpVfCHfe9yUpie2GT_I4LNYJR9KJsZblsocIBHP9_4AR_7d1297oGvH-gEi1lzWtII1-dmetvaquVwzWhCPKA0UFUrQAMJDlmUICdu1OUVIEusrklYMILcvkemBxeoa4ZZ0vcTAgiF_WxKP2kvrJVq7I6Q0aDCA0-c49huIjtuXbhuBPZsow8zslGtdk5KyBdC16yLl2Za4.7Q-rRp5QPU30vbLo7fBYDndge069FtS4OmeSgdvMWNs&dib_tag=se&keywords=safety+gloves&qid=1770443999&sr=8-5
Inspire Black Nitrile Disposable Gloves | 4.5 Nitrile Disposable Safety Medical Cooking Cleaning Gloves,8.,N/A,N/A,No,Check availability,https://www.amazon.com/Inspire-Nitrile-Disposable-Household-Cleaning/dp/B0CKWK2KJD/ref=sr_1_6?dib=eyJ2IjoiMSJ9.9i0zlpN3iFZjfr4tbaNAGEBi-LVWg8p5xWYBh1XdvtTZZjIibEh_mwCtP3-8G-npg8vLzNsdXHqZ5VBM68Oz7vl3lpCfnEeTMpVfCHfe9yUpie2GT_I4LNYJR9KJsZblsocIBHP9_4AR_7d1297oGvH-gEi1lzWtII1-dmetvaquVwzWhCPKA0UFUrQAMJDlmUICdu1OUVIEusrklYMILcvkemBxeoa4ZZ0vcTAgiF_WxKP2kvrJVq7I6Q0aDCA0-c49huIjtuXbhuBPZsow8zslGtdk5KyBdC16yLl2Za4.7Q-rRp5QPU30vbLo7fBYDndge069FtS4OmeSgdvMWNs&dib_tag=se&keywords=safety+gloves&qid=1770443999&rdc=1&sr=8-6
"Octogrip Nitrile Coated Work Gloves, 18-Gauge Breathable Liner, Touchscreen Compatible, Large Size (6 Pair Pack)",29.,N/A,N/A,No,Check availability,https://www.amazon.com/Octogrip-18-Gauge-Breathable-Touchscreen-Compatible/dp/B0GKBN1GJL/ref=sr_1_7?dib=eyJ2IjoiMSJ9.9i0zlpN3iFZjfr4tbaNAGEBi-LVWg8p5xWYBh1XdvtTZZjIibEh_mwCtP3-8G-npg8vLzNsdXHqZ5VBM68Oz7vl3lpCfnEeTMpVfCHfe9yUpie2GT_I4LNYJR9KJsZblsocIBHP9_4AR_7d1297oGvH-gEi1lzWtII1-dmetvaquVwzWhCPKA0UFUrQAMJDlmUICdu1OUVIEusrklYMILcvkemBxeoa4ZZ0vcTAgiF_WxKP2kvrJVq7I6Q0aDCA0-c49huIjtuXbhuBPZsow8zslGtdk5KyBdC16yLl2Za4.7Q-rRp5QPU30vbLo7fBYDndge069FtS4OmeSgdvMWNs&dib_tag=se&keywords=safety+gloves&qid=1770443999&sr=8-7
"Safety Work Gloves PU Coated-12 Pairs,Red Seamless Knit Glove with Polyurethane Coated Smooth Grip on Palm & Fingers, for Men and Women, Ideal for General Duty Work (Large)",15.,N/A,N/A,No,Check availability,https://www.amazon.com/Coated-12-Seamless-Polyurethane-Fingers-General/dp/B08X6GHFJ6/ref=sr_1_8?dib=eyJ2IjoiMSJ9.9i0zlpN3iFZjfr4tbaNAGEBi-LVWg8p5xWYBh1XdvtTZZjIibEh_mwCtP3-8G-npg8vLzNsdXHqZ5VBM68Oz7vl3lpCfnEeTMpVfCHfe9yUpie2GT_I4LNYJR9KJsZblsocIBHP9_4AR_7d1297oGvH-gEi1lzWtII1-dmetvaquVwzWhCPKA0UFUrQAMJDlmUICdu1OUVIEusrklYMILcvkemBxeoa4ZZ0vcTAgiF_WxKP2kvrJVq7I6Q0aDCA0-c49huIjtuXbhuBPZsow8zslGtdk5KyBdC16yLl2Za4.7Q-rRp5QPU30vbLo7fBYDndge069FtS4OmeSgdvMWNs&dib_tag=se&keywords=safety+gloves&qid=1770443999&sr=8-8
"KAYGO Safety Work Gloves PU Coated,12 Pairs KG11PB Seamless Knit Glove for Men and Women, with Smooth Grip on Palm and Fingers, Ideal for General Duty Work (Large, Black)",15.,N/A,N/A,No,Check availability,https://www.amazon.com/Coated-12-KAYGO-Seamless-Polyurethane-Fingers/dp/B07P1R36HH/ref=sr_1_9?dib=eyJ2IjoiMSJ9.9i0zlpN3iFZjfr4tbaNAGEBi-LVWg8p5xWYBh1XdvtTZZjIibEh_mwCtP3-8G-npg8vLzNsdXHqZ5VBM68Oz7vl3lpCfnEeTMpVfCHfe9yUpie2GT_I4LNYJR9KJsZblsocIBHP9_4AR_7d1297oGvH-gEi1lzWtII1-dmetvaquVwzWhCPKA0UFUrQAMJDlmUICdu1OUVIEusrklYMILcvkemBxeoa4ZZ0vcTAgiF_WxKP2kvrJVq7I6Q0aDCA0-c49huIjtuXbhuBPZsow8zslGtdk5KyBdC16yLl2Za4.7Q-rRp5QPU30vbLo7fBYDndge069FtS4OmeSgdvMWNs&dib_tag=se&keywords=safety+gloves&qid=1770443999&sr=8-9
Mechanix Wear Original Tactical Glove - High Performance Anti-Slip Grip Safety Gloves - Impact Resistant & Touchscreen Capable - Medium - Covert Black,23.,N/A,N/A,No,Check availability,https://www.amazon.com/Mechanix-Wear-Performance-Multi-purpose-Touchscreen/dp/B0001VNZUA/ref=sr_1_10?dib=eyJ2IjoiMSJ9.9i0zlpN3iFZjfr4tbaNAGEBi-LVWg8p5xWYBh1XdvtTZZjIibEh_mwCtP3-8G-npg8vLzNsdXHqZ5VBM68Oz7vl3lpCfnEeTMpVfCHfe9yUpie2GT_I4LNYJR9KJsZblsocIBHP9_4AR_7d1297oGvH-gEi1lzWtII1-dmetvaquVwzWhCPKA0UFUrQAMJDlmUICdu1OUVIEusrklYMILcvkemBxeoa4ZZ0vcTAgiF_WxKP2kvrJVq7I6Q0aDCA0-c49huIjtuXbhuBPZsow8zslGtdk5KyBdC16yLl2Za4.7Q-rRp5QPU30vbLo7fBYDndge069FtS4OmeSgdvMWNs&dib_tag=se&keywords=safety+gloves&qid=1770443999&sr=8-10
